size,type,algorithm,time_us,memory_kb,cpu_percent
100,int,quick_recursive,5,0,0.0
100,int,quick_iterative,5,0,83.3
100,int,merge_parallel,9,0,71.4
100,double,quick_recursive,6,0,85.4
100,double,quick_iterative,6,0,92.3
100,double,merge_parallel,9,0,81.2
1000,int,quick_recursive,59,0,95.9
1000,int,quick_iterative,63,128,97.2
1000,int,merge_parallel,1556,0,135.4
1000,double,quick_recursive,284,0,328.1
1000,double,quick_iterative,95,0,204.7
1000,double,merge_parallel,96,0,227.5
5000,int,quick_recursive,369,0,287.1
5000,int,quick_iterative,384,0,238.3
5000,int,merge_parallel,351,0,142.2
5000,double,quick_recursive,523,0,251.7
5000,double,quick_iterative,760,0,444.2
5000,double,merge_parallel,434,128,610.3
10000,int,quick_recursive,993,0,249.3
10000,int,quick_iterative,790,0,374.9
10000,int,merge_parallel,693,0,553.6
10000,double,quick_recursive,1789,0,386.5
10000,double,quick_iterative,1416,0,291.8
10000,double,merge_parallel,1022,0,621.7
50000,int,quick_recursive,5924,0,299.2
50000,int,quick_iterative,4864,0,249.5
50000,int,merge_parallel,3769,344,296.2
50000,double,quick_recursive,5808,0,350.7
50000,double,quick_iterative,5775,0,115.6
50000,double,merge_parallel,5477,732,299.1
100000,int,quick_recursive,10775,0,307.8
100000,int,quick_iterative,10896,0,99.6
100000,int,merge_parallel,9260,384,348.5
100000,double,quick_recursive,12551,0,181.9
100000,double,quick_iterative,13008,0,95.3
100000,double,merge_parallel,10560,1408,359.1
