size,type,algorithm,time_us,memory_kb,cpu_percent
100,int,quick_recursive,5,0,0.0
100,int,quick_iterative,5,0,100.0
100,int,merge_parallel,9,0,100.0
100,double,quick_recursive,6,0,102.4
100,double,quick_iterative,5,0,100.0
100,double,merge_parallel,7,0,92.3
1000,int,quick_recursive,55,0,100.0
1000,int,quick_iterative,56,128,101.6
1000,int,merge_parallel,1263,0,155.5
1000,double,quick_recursive,67,0,99.6
1000,double,quick_iterative,63,0,101.5
1000,double,merge_parallel,77,0,98.8
5000,int,quick_recursive,367,0,505.9
5000,int,quick_iterative,338,0,232.6
5000,int,merge_parallel,749,0,217.1
5000,double,quick_recursive,363,0,242.1
5000,double,quick_iterative,349,128,515.2
5000,double,merge_parallel,343,0,95.6
10000,int,quick_recursive,1152,0,411.7
10000,int,quick_iterative,866,0,405.2
10000,int,merge_parallel,868,0,384.6
10000,double,quick_recursive,1332,0,292.2
10000,double,quick_iterative,1106,0,540.3
10000,double,merge_parallel,628,128,80.3
50000,int,quick_recursive,8244,0,333.6
50000,int,quick_iterative,4021,0,133.9
50000,int,merge_parallel,3527,384,236.2
50000,double,quick_recursive,5195,0,361.0
50000,double,quick_iterative,4502,0,194.6
50000,double,merge_parallel,3669,896,313.8
100000,int,quick_recursive,9815,0,337.0
100000,int,quick_iterative,10690,0,91.9
100000,int,merge_parallel,7517,384,355.0
100000,double,quick_recursive,11296,0,244.3
100000,double,quick_iterative,9220,0,99.5
100000,double,merge_parallel,8692,1408,323.1
